"Videofilename";"Arena";"Setup";"Genotype";"Metabolic";"Mating";"Sex";"SubstrateType";"PatchPositions";;"Date";
"0008B03R02Cam03.avi";2;3;3;2;1;1;1;54.9256;-32.3441;"17-Dec-2013 20:32:00";
;;;;;;;2;-0.54859;-62.8626;;
;;;;;;;1;-56.5196;-31.2099;;
;;;;;;;2;-54.1663;31.9064;;
;;;;;;;1;-0.70798;64.2835;;
;;;;;;;2;54.7149;30.9562;;
;;;;;;;1;88.5865;-89.8162;;
;;;;;;;2;31.4803;-121.7252;;
;;;;;;;1;-32.6275;-121.2257;;
;;;;;;;2;-89.677;-88.1253;;
;;;;;;;1;-122.698;-31.6792;;
;;;;;;;2;-121.1573;33.5999;;
;;;;;;;2;121.1573;-33.5999;;
;;;;;;;1;121.9049;31.5948;;
;;;;;;;2;89.677;88.1253;;
;;;;;;;1;33.755;120.6082;;
;;;;;;;2;-31.4803;121.7252;;
;;;;;;;1;-86.6189;89.7886;;
;;;;;;;3;0;0;;

