,,,,,,MB,,,,CX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNs,AL,ME,ALA,LOP,LO,CA,PED,ML,VL ,ACA,EB,FB,NO,PB,ATL,ICL,SCL,CRE,IB,BU,LAL,LH,CAN,FLA,PRW,SAD,AMMC,SMP,SIP,SLP,AOTU,PLP,AVLP,WED,PVLP,IPS,SPS,EPA,GOR,VES,GNG,VNC Neck,VNC Wing,VNC Halt,VNC T1 Tm,VNC T2 Tm,VNC T3 Tm,VNC L Tm,VNC AS Tm,VNC AMN,VNC T1 LN,VNC T2 LN,VNC T3 LN,VNC AS N
001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,I,,,,,,O,,,,,,,O,,,,,,
003,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,I,,,,I,I,I,I,I,I,,,,,,,,,,O,O,O,
004,O,,,,,,,,,,,,,,,I,I,,,,,,,O,O,O,,,,I,,IO,,O,,,,,O,O,O,,,,O,O,O,,,,O,O,O,
005,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,I,,,,I,,,,,,,,,O,,,,,,
006,I,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,I,,I,I,,I,,,,O,,,,O,O,O,O,,,O,O,O,
009,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,IO,,O,O,,,,,O,,,,,O
010,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,I,,,,,,,,,,,O,,,,O,O,O,,,,,,,
011,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,I,I,I,,I,O,,,,,,,,,,O,O,O,
013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,O,O,O,,,,,,,,,,
019,,,,,,,,,,,,,,,,O,O,,,,,,,,,,O,,,,,,IO,O,O,,,,,,O,,,,O,O,O,O,O,,,,,
021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,,,,,,,,,,,I,,,,,,,,,,O,O,O,
029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,O,,,,,,,,,,,,
032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,I,I,O,O,,,,O,O,O,O,O,O,,,,,,,,
033,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,,,I,,,,,,,O,,,,O,O,O,,,,O,O,O,
034,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,I,,,,,,,O,O,O,O,,,,,,,,,,
035,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,I,I,I,I,,I,O,O,O,,O,O,O,,,,,,,
044,,,,,,,,,,,,,,,,I,I,,,,,,,,,,,,,I,,I,,,,,,I,,I,,,,,O,O,O,O,,,O,O,O,
045,,,,,,,,,,,,,,,,I,,,O,,,,,,,,,,,,,,,,,I,I,,,,O,,O,O,,,,,,,,,,
047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,IO,I,,,,,I,IO,,,,O,O,O,O,O,O,O,O,O,
052,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
053,,,,,,,,,,,,,,,,,,,I,,,,,,,I,,,,,,I,,,,O,I,,,,O,O,O,O,O,O,O,,,,,,,
054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,O,,,,,,,,,,O,O,O,
055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,O,O,,O,,,,,,,,,,
